校代碼,學校名稱,班群,科目屬性,領域名稱,科目名稱代碼,科目名稱,"高一上
學分數","高一下
學分數","高二上
學分數","高二下
學分數","高三上
學分數","高三下
學分數",公私,隸屬,偏遠,縣市,規模分組,"全校班級總數
(含日夜間部)",全校普通科班級總數,高一普通科班級數
11302,私立康橋高中,S,1,2,3,補強-數學,1,1,1,1,2,2,私立,D,A,新北市,C,42,18,6
11302,私立康橋高中,B,1,3,9,補強-歷史,,,1,,,,私立,D,A,新北市,C,42,18,6
11302,私立康橋高中,B,1,3,0A,補強-地理,,,,1,,,私立,D,A,新北市,C,42,18,6
11306,私立金陵女中,A,1,1,2,補強-英語文,,,1,,2,,私立,D,A,新北市,C,44,17,5
11306,私立金陵女中,B,1,1,2,補強-英語文,,,,,1,,私立,D,A,新北市,C,44,17,5
11306,私立金陵女中,A,1,2,3,補強-數學,,,1,,2,,私立,D,A,新北市,C,44,17,5
11306,私立金陵女中,B,1,2,3,補強-數學,,,,,1,,私立,D,A,新北市,C,44,17,5
11309,財團法人南山高中,A,1,1,1,補強-國語文,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,B,1,1,1,補強-國語文,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,C,1,1,1,補強-國語文,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,D,1,1,1,補強-國語文,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,A,1,1,2,補強-英語文,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,B,1,1,2,補強-英語文,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,C,1,1,2,補強-英語文,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,D,1,1,2,補強-英語文,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,A,1,2,3,補強-數學,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,B,1,2,3,補強-數學,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,C,1,2,3,補強-數學,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11309,財團法人南山高中,D,1,2,3,補強-數學,,,2,2,2,2,私立,D,A,新北市,D,102,33,11
11315,私立東海高中,A,1,1,1,補強-國語文,1,1,1,1,,,私立,D,A,新北市,A,27,3,1
11315,私立東海高中,A,1,1,2,補強-英語文,1,1,1,1,,,私立,D,A,新北市,A,27,3,1
11316,私立格致高中,A,1,1,2,補強-英語文,,,2,2,,,私立,D,A,新北市,C,52,15,5
11316,私立格致高中,B,1,1,2,補強-英語文,,,,2,2,2,私立,D,A,新北市,C,52,15,5
11316,私立格致高中,A,1,2,3,補強-數學,,,2,2,,,私立,D,A,新北市,C,52,15,5
11316,私立格致高中,B,1,2,3,補強-數學,,,,2,2,2,私立,D,A,新北市,C,52,15,5
11316,私立格致高中,B,1,4,0C,補強-物理,,,,,1,1,私立,D,A,新北市,C,52,15,5
